"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density";"file";"author"
"156";"Olga";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"157";"Irina";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"158";"Masha";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"159";"Chebutykin";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"160";"Fedotik";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"161";"Kulygin";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"162";"Rode";0;0,0769230769230769;39;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"163";"Tuzenbah";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"164";"Vershinin";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"165";"Lopahin";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"166";"Jasha";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"167";"Epihodov";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"168";"Gaev";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"169";"Dunjasha";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"170";"LjubovAndreevna";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"171";"Pischik";0;0,0714285714285714;34;12;14;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"172";"Anja";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"173";"Nachalnikstantsii";0;0,0714285714285714;12;12;14;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"174";"Firs";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"175";"Prohozhij";0;0,0666666666666667;11;11;15;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"176";"Trofimov";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"177";"Sharlotta";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"178";"Varja";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978;"Chehov_Vishnevyi_sad.csv";"Chehov"
"179";"Sovetnik";0,166666666666667;0,142857142857143;43;7;7;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"180";"Sofja";0,166666666666667;0,142857142857143;36;7;7;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"181";"Dobroljubov";0;0,125;34;6;8;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"182";"Brigadirsha";0,166666666666667;0,142857142857143;39;7;7;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"183";"Brigadir";0,166666666666667;0,142857142857143;45;7;7;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"184";"Sluga";0;0,125;6;6;8;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"185";"Sovetnitsa";0,166666666666667;0,142857142857143;57;7;7;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"186";"Syn";0,166666666666667;0,142857142857143;52;7;7;0,964285714285714;"Fonvizin_Brigadir.csv";"Fonvizin"
"187";"Pravdin";5,41468253968254;0,0625;81;12;16;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"188";"Prostakov";3,86904761904762;0,0588235294117647;49;11;17;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"189";"Eremeevna";0,652777777777778;0,0588235294117647;47;11;17;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"190";"G-zhaProstakova";6,65277777777778;0,0625;86;12;16;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"191";"Mitrofan";6,65277777777778;0,0625;52;12;16;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"192";"Milon";0,652777777777778;0,0588235294117647;61;11;17;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"193";"Kutejkin";0,236111111111111;0,0555555555555556;29;10;18;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"194";"Kamerdiner";0,111111111111111;0,037037037037037;4;3;27;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"195";"Skotinin";2,61904761904762;0,0526315789473684;58;9;19;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"196";"Starodum";4,74801587301587;0,0625;67;12;16;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"197";"Tsyfirkin";0,236111111111111;0,0555555555555556;29;10;18;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"198";"Sofja";4,34523809523809;0,0588235294117647;57;11;17;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"199";"Trishka";0;0,0357142857142857;2;2;28;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"200";"Vralman";2,80952380952381;0,0526315789473684;15;9;19;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"201";"Sluga";0;0,037037037037037;3;3;27;0,657142857142857;"Fonvizin_Nedorosl.csv";"Fonvizin"
"202";"Chuzhojlakej";1,5;0,0555555555555556;9;5;18;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"203";"Grigorij";40;0,0833333333333333;15;10;12;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"204";"Gospodinvshube";0;0,0476190476190476;2;2;21;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"205";"Devushka";0;0,0476190476190476;2;2;21;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"206";"Gospodin";0;0,0476190476190476;2;2;21;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"207";"Dvoretskij";10;0,0526315789473684;3;3;19;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"208";"Barin";0;0,0476190476190476;2;2;21;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"209";"Chuzhojsluga";0;0,0526315789473684;4;4;19;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"210";"Annushka";0;0,0344827586206897;1;1;29;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"211";"Ivan";1,5;0,0555555555555556;8;5;18;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"212";"Puzatyjdvoretskij";0;0,05;2;2;20;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"213";"Petr";0;0,0526315789473684;4;4;19;0,318181818181818;"Gogol_Lakeiskaja.csv";"Gogol"
"214";"MarjaAleksandrovna";2;0,333333333333333;3;3;3;0,666666666666667;"Gogol_Otryvok.csv";"Gogol"
"215";"Lakej";0;0,25;2;2;4;0,666666666666667;"Gogol_Otryvok.csv";"Gogol"
"216";"Sobachkin";0;0,2;1;1;5;0,666666666666667;"Gogol_Otryvok.csv";"Gogol"
"217";"Misha";0;0,25;2;2;4;0,666666666666667;"Gogol_Otryvok.csv";"Gogol"
"218";"Lomov";0;0,5;7;2;2;1;"Gogol_Predlozhenie.csv";"Gogol"
"219";"Chubukov";0;0,5;6;2;2;1;"Gogol_Predlozhenie.csv";"Gogol"
"220";"NataljaStepanovna";0;0,5;7;2;2;1;"Gogol_Predlozhenie.csv";"Gogol"
"221";"ArtemijFilippovich";39,8788739854916;0,015625;51;25;64;0,275757575757576;"Gogol_Revizor.csv";"Gogol"
"222";"Gorodnichij";281,812904905552;0,0188679245283019;74;35;53;0,275757575757576;"Gogol_Revizor.csv";"Gogol"
"223";"Bobchinskij";13,9053571428571;0,0133333333333333;31;14;75;0,275757575757576;"Gogol_Revizor.csv";"Gogol"
"224";"ArtemijaFilippovicha";0;0,0128205128205128;16;16;78;0,275757575757576;"Gogol_Revizor.csv";"Gogol"
"225";"Gostja";0;0,0128205128205128;16;16;78;0,275757575757576;"Gogol_Revizor.csv";"Gogol"
"226";"AnnaAndreevna";66,7073493499964;0,0161290322580645;51;26;62;0,275757575757576;"Gogol_Revizor.csv";"Gogol"
"227";"Mnogieizgostej";0;0,0128205128205128;16;16;78;0,275757575757576;"Gogol_Revizor.csv";"Gogol"
